8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,1,,ゆか
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,プレイヤー
8,,2,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,3,,キャラクター
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,積み木
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,5,,ぬいぐるみ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,ゴール
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,7,,飛行機
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,から
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,3,,8,,8,,8,,8,,8,,8,,8,,8,,8,,4,,8,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,8,,1,,1,,1,,1,,8,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,8,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
