8,,8,,8,,8,,8,,8,,8,,8,,2,,8,,8,,8,,8,,8,,8,,8,,,1,,Å@,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,8,,8,,4,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,4,,8,,8,,4,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,8,,4,,4,,8,,4,,8,,8,,8,,8,,4,,8,,8,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,8,,4,,4,,4,,4,,4,,8,,4,,8,,4,,8,,8,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,8,,4,,8,,4,,8,,8,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,8,,4,,4,,4,,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
