8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,5,,8,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,8,,7,,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,7,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,4,,8,,8,,8,,7,,,,8,,8,,8,,8,,8,,8,,8,,8,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,7,,,,8,,8,,4,,8,,8,,8,,7,,,,8,,8,,8,,8,,8,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,7,,,,8,,8,,4,,8,,8,,8,,8,,8,,8,,8,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,8,,8,,8,,7,,,,8,,8,,8,,8,,8,,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,1,,1,,8,,8,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
