8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,1,,Å@,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,4,,4,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,4,,4,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,3,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,7,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,7,,,,7,,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,8,,1,,8,,1,,8,,1,,1,,8,,8,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,8,,1,,8,,1,,8,,1,,1,,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,8,,1,,1,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
