8,,8,,8,,2,,4,,4,,4,,4,,8,,4,,4,,4,,4,,8,,8,,8,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,8,,8,,4,,4,,4,,4,,8,,7,,,,7,,,,8,,8,,8,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,8,,7,,,,7,,,,8,,8,,8,,8,,8,,8,,6,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,8,,8,,8,,8,,8,,8,,4,,4,,4,,4,,8,,4,,4,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,4,,4,,4,,4,,8,,8,,4,,4,,4,,4,,8,,4,,4,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,7,,,,7,,,,8,,8,,7,,,,7,,,,8,,4,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,5,,4,,4,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
