8,,2,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,,プレイヤー,,,,1,,　,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,4,,8,,8,,8,,8,,4,,5,,8,,8,,8,,8,,8,,,,,キャラクター,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,8,,8,,7,,,,8,,8,,8,,8,,7,,,,8,,8,,8,,8,,8,,,,,床,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,4,,8,,8,,4,,8,,8,,8,,8,,8,,8,,8,,4,,5,,8,,,,,積み木,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,4,,8,,8,,4,,7,,,,8,,8,,8,,8,,8,,7,,,,8,,,,,ぬいぐるみ,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,4,,8,,8,,4,,8,,8,,8,,8,,8,,8,,8,,8,,6,,,,,,,ゴール,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,4,,8,,8,,4,,8,,8,,4,,8,,8,,8,,8,,8,,,,,,,,,耐久力,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,4,,8,,8,,4,,8,,8,,4,,7,,,,8,,8,,8,,1,,1,,,,,飛行機,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
