8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,1,,Å@,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,3,,8,,8,,8,,8,,2,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,7,,,,8,,8,,8,,8,,4,,4,,7,,,,8,,8,,8,,8,,8,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,8,,4,,7,,,,4,,4,,8,,8,,8,,8,,8,,8,,8,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,4,,4,,8,,8,,4,,4,,8,,8,,4,,8,,7,,,,8,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,4,,4,,8,,8,,4,,4,,8,,8,,4,,8,,8,,6,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,8,,4,,4,,8,,8,,4,,4,,8,,8,,4,,4,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
